page_index,url,title,gt_keywords_count,unique_matched_keywords,matched_tokens_count,total_tokens,gt_coverage_pct,match_rate_pct,matched_keyword_samples
48,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/48,"
   Hallikauppiaan leipäkäärö Pekingin tapaan - Ruoka.fi
  ",6,6,13,380,100.0,3.421052631578948,"an, keitiö, kiinalain, leipä, leipäkäärö"
77,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/77,"
   Karitsanpotkaa padassa Marokon tapaan - Ruoka.fi
  ",6,6,17,456,100.0,3.7280701754385963,"an, karits, lampaanlih, liharuoa, marokkolain"
90,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/90,"
   Lämmin brie karamelliomenoiden kanssa - Ruoka.fi
  ",6,6,26,339,100.0,7.669616519174041,"an, brie, karamelliomen, kotimais, läm"
91,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/91,"
   Lämmittävä katkarapukeitto aasialaisittain - Ruoka.fi
  ",6,6,16,335,100.0,4.776119402985075,"aasialain, katkarapukeito, keitiö, keito, kotilääkär"
33,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/33,"
   Muscovado nautaa padassa - Mukana Maku
  ",6,6,22,497,100.0,4.426559356136821,"maku, muka, naudanlih, pataruoa, siirap"
42,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/42,"
   Focaccia-leipä - Ruoka.fi
  ",6,6,16,358,100.0,4.4692737430167595,"an, focac, focacia, leivonnais, leivä"
9,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/9,"
   Leivo italialaista leipää kotona - nappaa vinkit focaccian tekoon - Ruoka.fi
  ",7,6,15,296,85.71428571428571,5.0675675675675675,"an, focac, ital, italialain, keitiö"
8,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/8,"
   Testissä alkoholittomat juhlajuomat - Ruoka.fi
  ",6,6,19,1081,100.0,1.757631822386679,"alkoholito, juhlajuom, juoma, kuohuviin, test"
25,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/25,"
   Nutella kotijäätelö - Mukana Maku
  ",6,6,43,463,100.0,9.287257019438446,"glukoosisiirap, jäätelö, kotijäätelö, maku, muka"
31,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/31,"
   Täyteläinen lohikeitto - Mukana Maku
  ",6,6,28,484,100.0,5.785123966942149,"kalakeito, kirjoloh, lohi, lohikeito, maku"
19,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/19,"
   Hunaja-punaviini marinoidut broilerin grillileikkeet - Mukana Maku
  ",6,6,30,432,100.0,6.944444444444445,"broiler, grillatu, grilliruoa, maku, muka"
17,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/17,"
   Grillattu broilerinleike ”korma” - Mukana Maku
  ",7,6,21,400,85.71428571428571,5.25,"broiler, grilliruoa, kana, maku, muka"
96,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/96,"
   Malesialainen munacurry - Ruoka.fi
  ",6,6,13,328,100.0,3.9634146341463414,"aasialain, an, cury, kananmu, munaruoa"
98,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/98,"
   Maukas siikaleipä - Ruoka.fi
  ",6,6,12,278,100.0,4.316546762589928,"an, kalalei, leivä, siika, siikalei"
88,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/88,"
   Kookos-limettinugetit - Ruoka.fi
  ",6,6,17,332,100.0,5.120481927710843,"an, broiler, broileriruoa, kananuget, kookoshiutal"
79,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/79,"
   Katkarapu-parsapiiras - Ruoka.fi
  ",6,6,22,341,100.0,6.451612903225806,"katkarapu, leivonnais, piira, seura, suolais"
69,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/69,"
   Jauheliha-hapankaalipiirakka - Ruoka.fi
  ",6,6,23,404,100.0,5.693069306930694,"hapankaal, jauhelih, leivonnais, piirak, suolais"
99,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/99,"
   Mausteöljyt ja -etikat - Ruoka.fi
  ",6,6,16,326,100.0,4.9079754601226995,"etik, maust, seura, säilön, tähtianis"
70,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/70,"
   Kaali-kurpitsapiirakka ja puolukkashotti - Ruoka.fi
  ",7,7,22,425,100.0,5.176470588235294,"kaali, kurpits, leivon, leivonnais, piirak"
49,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/49,"
   Hapattimella valmistettu, hiivaton reikäleipä - Ruoka.fi
  ",7,7,13,355,100.0,3.6619718309859155,"joulu, leipä, leipäohj, ruis, ruislei"
71,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/71,"
   Kahden kalan carpaccio - Ruoka.fi
  ",7,7,16,331,100.0,4.833836858006042,"carpacio, joulu, jouluruoa, kalaruoa, kotilääkär"
74,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/74,"
   Kanavartaat sataykastikkeessa - Ruoka.fi
  ",7,7,21,396,100.0,5.303030303030303,"an, broiler, broilerinlih, kana, kanaruoa"
81,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/81,"
   Kiinalainen lihavokki - Ruoka.fi
  ",7,7,17,376,100.0,4.521276595744681,"aasialain, liharuoa, maailm, maku, naudanlih"
93,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/93,"
   Liha-sienipiirakka - Ruoka.fi
  ",7,7,21,398,100.0,5.276381909547738,"jauhelih, leivonnais, piirak, seura, siene"
84,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/84,"
   Kofta korma -lihapyörykät - Ruoka.fi
  ",7,7,17,433,100.0,3.9260969976905313,"an, intialain, lammaspyöryk, lampaanjauhelih, lampaanlih"
82,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/82,"
   Kinkku-juustopiiras - Ruoka.fi
  ",7,7,23,380,100.0,6.052631578947368,"juusto, kinkkupiirak, kinku, leivonnais, piira"
64,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/64,"
   Intialainen lohicurry - Ruoka.fi
  ",7,7,24,358,100.0,6.70391061452514,"an, cury, intialain, kalaruoa, lohi"
97,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/97,"
   Marokkolainen sitruunakana - Ruoka.fi
  ",7,7,15,421,100.0,3.5629453681710213,"an, broileriruoa, kana, keitiö, marokkolain"
63,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/63,"
   Intialainen linssi-kasviscurry - Ruoka.fi
  ",7,7,25,339,100.0,7.374631268436578,"an, cury, intialain, kukkakaal, lins"
52,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/52,"
   Helpot teeleivät - Ruoka.fi
  ",7,7,16,305,100.0,5.245901639344262,"an, leivon, leivonnais, leivä, suolais"
50,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/50,"
   Hauki-rapumureke - Ruoka.fi
  ",7,7,28,362,100.0,7.734806629834254,"hauki, ja, kalastus, metsästys, murek"
57,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/57,"
   Hernesosekeitto, crème ninon - Ruoka.fi
  ",7,7,18,329,100.0,5.47112462006079,"hern, hernekeito, hernesosekeito, kasvisruoa, keito"
43,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/43,"
   Focaccia punajuuresta - Ruoka.fi
  ",7,7,21,359,100.0,5.8495821727019495,"an, focac, focacia, leivonnais, leivä"
37,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/37,"
   Arancini eli täytetyt riisipallot - Ruoka.fi
  ",7,7,24,493,100.0,4.86815415821501,"an, aranc, italialain, keitiö, riisi"
47,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/47,"
   Grillattua bataattia, parsaa ja tofua - Ruoka.fi
  ",7,7,34,322,100.0,10.559006211180124,"bataat, grillaus, grilliruoa, pars, seura"
32,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/32,"
   Vaniljajäätelö - Mukana Maku
  ",7,7,39,562,100.0,6.93950177935943,"jäätelö, jäätelökon, kotijäätelö, maku, muka"
15,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/15,"
   Erittäin punainen palapaisti ”Chorizo” - Mukana Maku
  ",7,7,36,534,100.0,6.741573033707865,"chorizo, espanj, maku, muka, palapai"
18,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/18,"
   Helppo broileri-kaalikeitto - Mukana Maku
  ",7,7,33,439,100.0,7.517084282460136,"broiler, helpo, kaali, kaalikeito, keito"
28,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/28,"
   Riisinkeitin - Mukana Maku
  ",7,7,34,697,100.0,4.878048780487805,"itämain, maku, muka, riisi, riisikeit"
29,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/29,"
   Savuinen pastakastike - Mukana Maku
  ",7,7,28,433,100.0,6.466512702078522,"maku, muka, pas, punav, saunapalvikinku"
2,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/2,"
   Riisinkeitin - Mukana Maku
  ",7,7,34,697,100.0,4.878048780487805,"itämain, maku, muka, riisi, riisikeit"
11,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/11,"
   Bratwurst pasta - Mukana Maku
  ",7,7,41,451,100.0,9.090909090909092,"bratwurst, hern, kerm, makkar, maku"
14,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/14,"
   Chorizo pasta - Mukana Maku
  ",7,7,40,438,100.0,9.1324200913242,"chorizo, makkar, maku, muka, paprikajauh"
60,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/60,"
   Höyrytetyt dim sum -nyytit - Ruoka.fi
  ",8,7,22,408,87.5,5.392156862745098,"an, dim, höyrytys, keitiö, kiinalain"
66,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/66,"
   Intialaiset lammasvartaat - Ruoka.fi
  ",7,7,22,317,100.0,6.940063091482649,"an, grilliruok, intialain, intialais, lammasvart"
87,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/87,"
   Kookos-kaneliriisipuuro ja puolukoita - Ruoka.fi
  ",8,8,27,344,100.0,7.848837209302325,"joulu, joulupuuro, jouluruok, kanel, kookos"
86,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/86,"
   Kolmen kupin kanansiivet - Ruoka.fi
  ",8,8,24,334,100.0,7.18562874251497,"an, broiler, kanansiiv, keitiö, kiinalain"
23,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/23,"
   Lihapullacurry - Mukana Maku
  ",8,8,31,473,100.0,6.553911205073996,"broiler, cury, intialain, jauhelih, lihapul"
45,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/45,"
   Gluteeniton sienipiirakka - Ruoka.fi
  ",8,8,15,389,100.0,3.8560411311053984,"kotilääkär, leivon, leivonnais, piirak, piiras"
41,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/41,"
   Chorizo-lammaspyörykät - Ruoka.fi
  ",8,8,19,358,100.0,5.307262569832402,"an, chorizo, espanjalain, katalonialain, keitiö"
56,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/56,"
   Herkulliset leipätikut - Ruoka.fi
  ",8,8,13,354,100.0,3.672316384180791,"kaksplus, leipä, leipätiku, leivon, leivonnais"
38,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/38,"
   Bangkok express -pizza - Ruoka.fi
  ",8,8,25,361,100.0,6.9252077562326875,"an, chili, herkkusien, nauda, naudanlih"
40,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/40,"
   Chilen siika - Ruoka.fi
  ",8,8,29,370,100.0,7.837837837837839,"chile, ja, kalaruoa, kalastus, marinoitu"
4,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/4,"
   Tervetuloa pizzalle! - Ruoka.fi
  ",8,8,24,323,100.0,7.430340557275541,"an, italialain, keitiö, maailm, maku"
26,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/26,"
   Raikas kirjolohipasta - Mukana Maku
  ",8,8,33,443,100.0,7.44920993227991,"jogurt, kirjoloh, kirjolohip, lohi, maku"
76,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/76,"
   Karamellisoidut omenat hunajan ja sinihomejuuston kera - Ruoka.fi
  ",8,8,37,352,100.0,10.511363636363637,"joulu, jouluruok, juusto, jälkiruok, karamellisoidu"
68,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/68,"
   Itämainen sobanuudelisalaatti - Ruoka.fi
  ",8,8,25,456,100.0,5.482456140350877,"aasialain, an, kira, nuudel, nuudelisalaat"
78,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/78,"
   Kasvispiiraat (Samosat) - Ruoka.fi
  ",8,8,21,379,100.0,5.540897097625329,"intialain, kasvispiir, kotilääkär, piira, piirak"
73,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/73,"
   Kampasimpukoita ja serranokinkkua - Ruoka.fi
  ",8,8,21,324,100.0,6.481481481481481,"an, espanjalain, grillaus, kampasimpuk, katalonialain"
72,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/72,"
   Kala-parsapiirakka - Ruoka.fi
  ",8,8,27,454,100.0,5.947136563876652,"kalapiirak, leivon, pars, parsapiirak, piirak"
21,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/21,"
   Jäätelökonekesä - Mukana Maku
  ",9,9,50,843,100.0,5.931198102016608,"gelato, jogurt, jäätelö, jäätelökon, kotijäätelö"
27,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/27,"
   Resepti testissä: Helppo pikaleipä - Mukana Maku
  ",9,9,26,375,100.0,6.933333333333333,"helpo, hiivato, leipä, leivinjauh, maku"
65,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/65,"
   Intialainen siika - Ruoka.fi
  ",9,9,37,291,100.0,12.714776632302405,"aasialain, intialain, ja, kala, kalaruoa"
51,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/51,"
   Heinäkasaperunat Pekingin tapaan - Ruoka.fi
  ",9,9,23,324,100.0,7.098765432098765,"aasialain, an, keitiö, kiinalain, maailm"
13,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/13,"
   Chorizo-jauhelihapihvit - Mukana Maku
  ",9,9,49,585,100.0,8.376068376068375,"chorizo, espanj, jauhelih, jauhelihapihv, maku"
1,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/1,"
   Jäätelökonekesä - Mukana Maku
  ",9,9,50,843,100.0,5.931198102016608,"gelato, jogurt, jäätelö, jäätelökon, kotijäätelö"
36,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/36,"
   Ankanrintaa ja appelsiinikastiketta sekä olkiperunoita - Ruoka.fi
  ",9,9,50,426,100.0,11.737089201877934,"an, ankanrint, appelsiinikastik, ja, maailm"
46,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/46,"
   Grillattu inkiväärilammas - Ruoka.fi
  ",9,9,27,377,100.0,7.161803713527852,"grillatu, grillaus, grilliruoa, inkiväär, inkiväärilammas"
58,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/58,"
   Hirvikauden keitinpiiraat - Ruoka.fi
  ",9,9,33,428,100.0,7.710280373831775,"hirvenlih, ja, jauhelih, kalastus, leivonnais"
7,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/7,"
   Cavat Espanjasta - kuohuviinit testissä - Ruoka.fi
  ",11,10,55,990,90.9090909090909,5.555555555555555,"campo, can, cava, faustino, freixen"
5,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/5,"
   Yo-juhlien tarjottavat - kokoa japanilaistyylinen menu - Ruoka.fi
  ",10,10,20,498,100.0,4.016064257028113,"an, buf, japanilain, katkarapukäärö, keitiö"
85,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/85,"
   Kokonaisena paistettu sisäfilee, hasselbackan perunat ja rakuunaporkkanat - Ruoka.fi
  ",10,10,49,417,100.0,11.750599520383693,"hasselback, kokonais, liharuoa, nauda, naudanlih"
22,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/22,"
   Jambalaya - Mukana Maku
  ",10,10,39,472,100.0,8.26271186440678,"broiler, chorizo, jambalaya, kana, katakaravu"
20,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/20,"
   Italialaiset jättilihapullat - Mukana Maku
  ",10,10,39,458,100.0,8.51528384279476,"italialain, jauhelih, juusto, keitiö, lihapul"
24,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/24,"
   Mausteinen uuniriisi - Mukana Maku
  ",10,10,37,436,100.0,8.486238532110093,"basmat, garam, intialain, lisäkeruoa, maku"
16,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/16,"
   Jogurttijäätelö tuli jäädäkseen - Mukana Maku
  ",10,10,55,699,100.0,7.868383404864092,"froze, glukoosisiirap, jogurt, jogurttijäätelö, jäätelö"
0,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/0,"
   Afrikan lämpöä - kana-paprika tagine - Mukana Maku
  ",11,11,68,972,100.0,6.995884773662551,"afrik, berber, kana, kikhern, maku"
12,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/12,"
   Chicken tikka masala - Mukana Maku
  ",11,11,55,492,100.0,11.178861788617885,"broiler, chick, intialain, kana, kananpoik"
10,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/10,"
   Afrikan lämpöä - kana-paprika tagine - Mukana Maku
  ",11,11,68,972,100.0,6.995884773662551,"afrik, berber, kana, kikhern, maku"
30,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/30,"
   Simon jauhelihapihvit, sekavihannes-spagetti ja kastike - Mukana Maku
  ",14,14,74,679,100.0,10.89837997054492,"annosfond, chef, du, fond, jauhelih"
