page_index,tag,gt_stem,positions
8,a,joulu,[20]
8,a,juoma,"[21, 38, 39, 42]"
8,a,leivon,[34]
8,a,ruoka,"[36, 87]"
8,a,juhlajuom,[41]
8,a,kilpailu,[55]
8,a,kirj,[73]
8,span,juhlajuom,[3]
8,span,ruoka,[5]
8,h1,juhlajuom,[2]
8,p,ruoka,[0]
8,p,juhlajuom,[9]
8,p,juhl,"[17, 22, 30]"
8,p,kesäh,[29]
8,p,laps,[280]
8,p,punav,[586]
9,a,juhl,[16]
9,a,joulu,[20]
9,a,juoma,[21]
9,a,leivon,[34]
9,a,ruoka,"[36, 98]"
9,a,kilpailu,[66]
9,a,kirj,[84]
9,p,ruoka,"[48, 50]"
10,a,juhl,[16]
10,a,joulu,[20]
10,a,juoma,[21]
10,a,leivon,[34]
10,a,kirj,[90]
10,a,ruoka,[104]
10,span,ruoka,[8]
10,p,joulu,[28]
10,p,ruoka,"[36, 64, 91, 260, 460, 487, 578, 614, 626]"
10,p,kaava,[366]
10,p,juhl,[679]
11,a,juhl,[16]
11,a,joulu,[20]
11,a,juoma,[21]
11,a,leivon,[34]
11,a,kirj,[76]
11,a,ruoka,[90]
11,span,ruoka,[4]
11,p,ruoka,"[122, 158, 170]"
11,p,juhl,[223]
12,a,juhl,[16]
12,a,joulu,[20]
12,a,juoma,[21]
12,a,leivon,[34]
12,a,ruoka,"[45, 95]"
12,a,kirj,[81]
12,span,ruoka,[79]
12,p,ruoka,"[75, 111, 123]"
12,p,juhl,[176]
13,a,juhl,[16]
13,a,joulu,[20]
13,a,juoma,[21]
13,a,leivon,[34]
13,a,kirj,[85]
13,a,ruoka,[99]
13,span,ruoka,[4]
13,p,ruoka,"[186, 223, 259, 271]"
13,p,juhl,[324]
14,a,juhl,[16]
14,a,joulu,[20]
14,a,juoma,[21]
14,a,leivon,[34]
14,a,kirj,[76]
14,a,ruoka,[90]
14,span,ruoka,[4]
14,p,ruoka,"[113, 149, 161]"
14,p,juhl,[214]
15,a,juhl,[16]
15,a,joulu,[20]
15,a,juoma,[21]
15,a,leivon,[34]
15,a,kirj,[76]
15,a,ruoka,[90]
15,span,ruoka,[6]
15,p,ruoka,"[5, 203, 239, 251]"
15,p,juhl,[304]
16,a,juhl,[16]
16,a,joulu,[20]
16,a,juoma,[21]
16,a,leivon,[34]
16,a,kirj,[91]
16,a,ruoka,[105]
16,span,ruoka,[5]
16,p,its,"[68, 97, 307]"
16,p,sukl,[129]
16,p,est,[297]
16,p,ruoka,"[360, 396, 408]"
16,p,juhl,[461]
17,a,juhl,[16]
17,a,joulu,[20]
17,a,juoma,[21]
17,a,leivon,[34]
17,a,kirj,[77]
17,a,ruoka,[91]
17,span,ruoka,[5]
17,p,ruoka,"[83, 119, 131]"
17,p,juhl,[184]
18,a,juhl,[16]
18,a,joulu,[20]
18,a,juoma,[21]
18,a,leivon,[34]
18,a,kirj,[76]
18,a,ruoka,[90]
18,span,ruoka,[5]
18,p,ruoka,"[109, 145, 157]"
18,p,juhl,[210]
19,a,juhl,[16]
19,a,joulu,[20]
19,a,juoma,[21]
19,a,leivon,[34]
19,a,punav,[44]
19,a,kirj,[76]
19,a,ruoka,[90]
19,span,punav,[2]
19,span,ruoka,[7]
19,h1,punav,[1]
19,p,punav,[12]
19,p,ruoka,"[99, 135, 147]"
19,p,juhl,[200]
20,a,juhl,[16]
20,a,joulu,[20]
20,a,juoma,[21]
20,a,leivon,[34]
20,a,kirj,[79]
20,a,ruoka,[93]
20,span,ruoka,[4]
20,p,ruoka,"[122, 158, 170]"
20,p,juhl,[223]
21,a,juhl,[16]
21,a,joulu,[20]
21,a,juoma,[21]
21,a,leivon,[34]
21,a,kirj,[80]
21,a,ruoka,[94]
21,span,ruoka,[3]
21,p,its,"[8, 390]"
21,p,tak,[119]
21,p,ruoka,"[450, 486, 498]"
21,p,juhl,[551]
22,a,juhl,[16]
22,a,joulu,[20]
22,a,juoma,[21]
22,a,leivon,[34]
22,a,kirj,[79]
22,a,ruoka,[93]
22,span,ruoka,[3]
22,p,ruoka,"[136, 172, 184]"
22,p,juhl,[237]
23,a,juhl,[16]
23,a,joulu,[20]
23,a,juoma,[21]
23,a,leivon,[34]
23,a,ruoka,"[41, 91]"
23,a,kirj,[77]
23,span,ruoka,[3]
23,p,ruoka,"[137, 173, 185]"
23,p,juhl,[238]
24,a,juhl,[16]
24,a,joulu,[20]
24,a,juoma,[21]
24,a,leivon,[34]
24,a,ruoka,"[43, 94]"
24,a,kirj,[80]
24,span,ruoka,[4]
24,p,ruoka,"[118, 154, 166]"
24,p,juhl,[219]
25,a,juhl,[16]
25,a,joulu,[20]
25,a,juoma,[21]
25,a,leivon,[34]
25,a,kirj,[80]
25,a,ruoka,[94]
25,span,ruoka,[4]
25,p,juhl,"[15, 249]"
25,p,ruoka,"[148, 184, 196]"
26,a,juhl,[16]
26,a,joulu,[20]
26,a,juoma,[21]
26,a,leivon,[34]
26,a,kirj,[77]
26,a,ruoka,[91]
26,span,ruoka,[112]
26,p,ruoka,"[5, 41, 53]"
26,p,juhl,[106]
27,a,juhl,[16]
27,a,joulu,[20]
27,a,juoma,[21]
27,a,leivon,[34]
27,a,ruoka,"[47, 96]"
27,a,kirj,[82]
27,span,ruoka,[6]
27,p,ruoka,"[66, 102, 114]"
27,p,juhl,[167]
28,a,juhl,[16]
28,a,joulu,[20]
28,a,juoma,[21]
28,a,leivon,[34]
28,a,ruoka,"[39, 91]"
28,a,kirj,[77]
28,span,ruoka,[3]
28,p,its,"[116, 257]"
28,p,est,[185]
28,p,ruoka,"[279, 315, 327]"
28,p,juhl,[380]
29,a,juhl,[16]
29,a,joulu,[20]
29,a,juoma,[21]
29,a,leivon,[34]
29,a,punav,[41]
29,a,kirj,[76]
29,a,ruoka,[90]
29,span,ruoka,[4]
29,p,punav,[72]
29,p,ruoka,"[104, 140, 152]"
29,p,juhl,[205]
30,a,juhl,[16]
30,a,joulu,[20]
30,a,juoma,[21]
30,a,leivon,[34]
30,a,kirj,[87]
30,a,ruoka,[101]
30,span,ruoka,[8]
30,p,ruoka,"[15, 91, 285, 321, 333]"
30,p,its,[117]
30,p,punav,"[143, 247]"
30,p,kilpailu,[278]
30,p,juhl,[386]
31,a,juhl,[16]
31,a,joulu,[20]
31,a,juoma,[21]
31,a,leivon,[34]
31,a,kirj,[75]
31,a,ruoka,[89]
31,span,ruoka,[109]
31,p,ruoka,"[8, 44, 80, 92]"
31,p,juhl,[145]
32,a,juhl,[16]
32,a,joulu,[20]
32,a,juoma,[21]
32,a,leivon,[34]
32,a,kirj,[77]
32,a,ruoka,[91]
32,span,ruoka,[3]
32,p,tee,[7]
32,p,laps,[77]
32,p,ruoka,"[257, 293, 305]"
32,p,juhl,[358]
33,a,juhl,[16]
33,a,joulu,[20]
33,a,juoma,[21]
33,a,leivon,[34]
33,a,kirj,[77]
33,a,ruoka,[91]
33,p,ruoka,"[143, 164, 200, 212]"
33,p,kilpailu,[153]
33,p,juhl,[265]
34,a,juhl,[16]
34,a,joulu,[20]
34,a,juoma,[21]
34,a,leivon,[34]
34,a,kirj,[71]
34,a,ruoka,[85]
34,span,ruoka,[5]
34,p,ruoka,"[140, 209]"
35,a,juhl,[16]
35,a,joulu,[20]
35,a,juoma,[21]
35,a,leivon,[34]
35,a,kirj,[65]
35,a,ruoka,[79]
35,span,ruoka,[4]
35,p,its,[79]
35,p,ruoka,[229]
36,a,juhl,[16]
36,a,joulu,[20]
36,a,juoma,[21]
36,a,leivon,[34]
36,a,ruoka,"[36, 57, 99]"
36,a,kilpailu,[67]
36,a,kirj,[85]
36,p,punav,[32]
37,a,juhl,[16]
37,a,joulu,[20]
37,a,juoma,[21]
37,a,leivon,[34]
37,a,ruoka,"[36, 120]"
37,a,kilpailu,[88]
37,a,kirj,[106]
38,a,juhl,[16]
38,a,joulu,[20]
38,a,juoma,[21]
38,a,leivon,[34]
38,a,ruoka,"[36, 104]"
38,a,leivonnais,[52]
38,a,kilpailu,[72]
38,a,kirj,[90]
38,p,tee,[21]
39,a,juhl,[16]
39,a,joulu,[20]
39,a,juoma,[21]
39,a,leivon,[34]
39,a,ruoka,"[36, 55, 101]"
39,a,kilpailu,[69]
39,a,kirj,[87]
39,p,ruoka,"[2, 67, 82]"
40,a,juhl,[16]
40,a,joulu,[20]
40,a,juoma,[21]
40,a,leivon,[34]
40,a,ruoka,"[36, 112]"
40,a,kilpailu,[80]
40,a,kirj,[98]
40,p,ruoka,"[79, 81]"
41,a,juhl,[16]
41,a,joulu,[20]
41,a,juoma,[21]
41,a,leivon,[34]
41,a,ruoka,"[36, 54, 100]"
41,a,kilpailu,[68]
41,a,kirj,[86]
41,p,valkov,[56]
42,a,juhl,[16]
42,a,joulu,[20]
42,a,juoma,[21]
42,a,leivon,[34]
42,a,ruoka,"[36, 105]"
42,a,leivonnais,[63]
42,a,kilpailu,[73]
42,a,kirj,[91]
43,a,juhl,[16]
43,a,joulu,[20]
43,a,juoma,[21]
43,a,leivon,[34]
43,a,ruoka,"[36, 100]"
43,a,leivonnais,[58]
43,a,kilpailu,[68]
43,a,kirj,[86]
43,span,ruoka,[30]
44,a,juhl,[16]
44,a,joulu,"[20, 48]"
44,a,juoma,[21]
44,a,leivon,[34]
44,a,ruoka,"[36, 103]"
44,a,suomi,[42]
44,a,piirak,"[53, 59, 61]"
44,a,leivonnais,[55]
44,a,kilpailu,[71]
44,a,kirj,[89]
45,a,juhl,[16]
45,a,joulu,[20]
45,a,juoma,[21]
45,a,leivon,"[34, 53]"
45,a,ruoka,"[36, 103]"
45,a,piirak,"[48, 54]"
45,a,leivonnais,[58]
45,a,kilpailu,[71]
45,a,kirj,[89]
45,span,ruoka,[55]
45,p,piirak,[62]
46,a,juhl,[16]
46,a,joulu,[20]
46,a,juoma,[21]
46,a,leivon,[34]
46,a,ruoka,"[36, 105]"
46,a,kilpailu,[73]
46,a,kirj,[91]
47,a,juhl,[16]
47,a,joulu,[20]
47,a,juoma,[21]
47,a,leivon,[34]
47,a,ruoka,"[36, 109]"
47,a,kilpailu,[77]
47,a,kirj,[95]
48,a,juhl,[16]
48,a,joulu,[20]
48,a,juoma,[21]
48,a,leivon,[34]
48,a,ruoka,"[36, 104]"
48,a,kilpailu,[72]
48,a,kirj,[90]
49,a,juhl,[16]
49,a,joulu,"[20, 48, 58]"
49,a,juoma,[21]
49,a,leivon,[34]
49,a,ruoka,"[36, 106]"
49,a,suomi,"[43, 49]"
49,a,kilpailu,[74]
49,a,kirj,[92]
49,p,tee,[65]
50,a,juhl,[16]
50,a,joulu,[20]
50,a,juoma,[21]
50,a,leivon,[34]
50,a,ruoka,"[36, 97]"
50,a,kilpailu,[65]
50,a,kirj,[83]
50,p,pul,[79]
51,a,juhl,[16]
51,a,joulu,[20]
51,a,juoma,[21]
51,a,leivon,[34]
51,a,ruoka,"[36, 54, 103]"
51,a,kilpailu,[71]
51,a,kirj,[89]
52,a,juhl,[16]
52,a,joulu,[20]
52,a,juoma,[21]
52,a,leivon,[34]
52,a,ruoka,"[36, 101]"
52,a,leivonnais,[57]
52,a,kilpailu,[69]
52,a,kirj,[87]
53,a,juhl,[16]
53,a,joulu,[20]
53,a,juoma,[21]
53,a,leivon,[34]
53,a,ruoka,"[36, 97]"
53,a,kilpailu,[65]
53,a,kirj,[83]
54,a,juhl,[16]
54,a,joulu,[20]
54,a,juoma,[21]
54,a,leivon,[34]
54,a,ruoka,"[36, 109]"
54,a,kilpailu,[77]
54,a,kirj,[95]
54,span,kotois,[10]
54,p,ruoka,"[10, 12]"
55,a,juhl,[16]
55,a,joulu,[20]
55,a,juoma,[21]
55,a,leivon,[34]
55,a,ruoka,"[36, 102]"
55,a,piirak,"[49, 54, 60]"
55,a,kilpailu,[70]
55,a,kirj,[88]
55,p,tee,[0]
56,a,juhl,[16]
56,a,joulu,[20]
56,a,juoma,[21]
56,a,leivon,"[34, 54]"
56,a,ruoka,"[36, 100]"
56,a,kilpailu,[68]
56,a,kirj,[86]
57,a,juhl,[16]
57,a,joulu,[20]
57,a,juoma,[21]
57,a,leivon,[34]
57,a,ruoka,"[36, 105]"
57,a,kilpailu,[73]
57,a,kirj,[91]
57,p,kuohuv,[42]
58,a,juhl,[16]
58,a,joulu,[20]
58,a,juoma,[21]
58,a,leivon,[34]
58,a,ruoka,"[36, 103]"
58,a,piirak,[46]
58,a,leivonnais,"[48, 59]"
58,a,kilpailu,[71]
58,a,kirj,[89]
58,p,tee,[0]
59,a,juhl,[16]
59,a,joulu,[20]
59,a,juoma,[21]
59,a,leivon,[34]
59,a,ruoka,"[36, 57, 102]"
59,a,kilpailu,[70]
59,a,kirj,[88]
60,a,juhl,[16]
60,a,joulu,[20]
60,a,juoma,[21]
60,a,leivon,[34]
60,a,ruoka,"[36, 121]"
60,a,kilpailu,[89]
60,a,kirj,[107]
61,a,juhl,[16]
61,a,joulu,[20]
61,a,juoma,[21]
61,a,leivon,[34]
61,a,ruoka,"[36, 109]"
61,a,suomi,"[56, 57]"
61,a,kilpailu,[77]
61,a,kirj,[95]
61,p,tee,[11]
62,a,juhl,[16]
62,a,joulu,[20]
62,a,juoma,[21]
62,a,leivon,[34]
62,a,ruoka,"[36, 106]"
62,a,jälkiruoa,"[52, 54]"
62,a,kilpailu,[74]
62,a,kirj,[92]
63,a,juhl,[16]
63,a,joulu,[20]
63,a,juoma,[21]
63,a,leivon,[34]
63,a,ruoka,"[36, 56, 101]"
63,a,kilpailu,[69]
63,a,kirj,[87]
64,a,juhl,[16]
64,a,joulu,[20]
64,a,juoma,[21]
64,a,leivon,[34]
64,a,ruoka,"[36, 64, 109]"
64,a,kilpailu,[77]
64,a,kirj,[95]
64,h3,koristelu,[0]
65,a,juhl,[16]
65,a,joulu,[20]
65,a,juoma,[21]
65,a,leivon,[34]
65,a,ruoka,"[36, 53, 55, 103]"
65,a,kilpailu,[71]
65,a,kirj,[89]
66,a,juhl,[16]
66,a,joulu,[20]
66,a,juoma,[21]
66,a,leivon,[34]
66,a,ruoka,"[36, 61, 106]"
66,a,kilpailu,[74]
66,a,kirj,[92]
66,p,ruoka,[52]
67,a,juhl,[16]
67,a,joulu,"[20, 52, 60]"
67,a,juoma,[21]
67,a,leivon,[34]
67,a,ruoka,"[36, 106]"
67,a,piirak,[55]
67,a,kilpailu,[74]
67,a,kirj,[92]
67,span,its,[8]
67,p,piirak,"[120, 134]"
67,p,korist,[142]
68,a,juhl,[16]
68,a,joulu,[20]
68,a,juoma,[21]
68,a,leivon,[34]
68,a,ruoka,"[36, 44, 65, 115]"
68,a,kilpailu,[83]
68,a,kirj,[101]
69,a,juhl,[16]
69,a,joulu,[20]
69,a,juoma,[21]
69,a,leivon,[34]
69,a,ruoka,"[36, 99]"
69,a,piirak,"[46, 52, 56]"
69,a,leivonnais,"[48, 54]"
69,a,kilpailu,[67]
69,a,kirj,[85]
70,a,juhl,[16]
70,a,joulu,[20]
70,a,juoma,[21]
70,a,leivon,"[34, 57]"
70,a,ruoka,"[36, 103]"
70,a,suomi,"[42, 49]"
70,a,piirak,"[50, 58]"
70,a,leivonnais,"[52, 61]"
70,a,kurpits,[56]
70,a,kilpailu,[71]
70,a,kirj,[89]
70,span,kurpits,[25]
70,p,kurpits,[59]
70,p,piirak,"[106, 118]"
70,p,tee,[111]
71,a,juhl,[16]
71,a,joulu,"[20, 45, 57]"
71,a,juoma,[21]
71,a,leivon,[34]
71,a,ruoka,"[36, 104]"
71,a,suomi,[44]
71,a,kilpailu,[72]
71,a,kirj,[90]
72,a,juhl,[16]
72,a,joulu,[20]
72,a,juoma,[21]
72,a,leivon,[34]
72,a,ruoka,"[36, 105]"
72,a,piirak,"[47, 58, 61, 63]"
72,a,leivonnais,[49]
72,a,kilpailu,[73]
72,a,kirj,[91]
72,p,tee,[129]
72,p,piirak,"[137, 140, 155, 163]"
73,a,juhl,[16]
73,a,joulu,[20]
73,a,juoma,[21]
73,a,leivon,[34]
73,a,ruoka,"[36, 102]"
73,a,kilpailu,[70]
73,a,kirj,[88]
74,a,juhl,[16]
74,a,joulu,[20]
74,a,juoma,[21]
74,a,leivon,[34]
74,a,ruoka,"[36, 108]"
74,a,kilpailu,[76]
74,a,kirj,[94]
74,p,ruoka,[6]
75,a,juhl,[16]
75,a,joulu,[20]
75,a,juoma,[21]
75,a,leivon,[34]
75,a,ruoka,"[36, 104]"
75,a,kilpailu,[72]
75,a,kirj,[90]
75,p,ruoka,"[58, 75]"
76,a,juhl,[16]
76,a,joulu,"[20, 53, 59, 69]"
76,a,juoma,[21]
76,a,leivon,[34]
76,a,ruoka,"[36, 117]"
76,a,jälkiruoa,"[52, 61, 63]"
76,a,jouluruok,[70]
76,a,kilpailu,[85]
76,a,kirj,[103]
76,p,ruoka,"[50, 52]"
77,a,juhl,[16]
77,a,joulu,[20]
77,a,juoma,[21]
77,a,leivon,[34]
77,a,ruoka,"[36, 57, 99]"
77,a,kilpailu,[67]
77,a,kirj,[85]
77,p,ruoka,"[3, 63, 94, 148]"
77,p,korist,"[120, 174]"
78,a,juhl,[16]
78,a,joulu,[20]
78,a,juoma,[21]
78,a,leivon,[34]
78,a,ruoka,"[36, 54, 103]"
78,a,piirak,"[48, 61]"
78,a,leivonnais,[50]
78,a,kilpailu,[71]
78,a,kirj,[89]
79,a,juhl,[16]
79,a,joulu,[20]
79,a,juoma,[21]
79,a,leivon,[34]
79,a,ruoka,"[36, 100]"
79,a,piirak,[46]
79,a,leivonnais,[48]
79,a,kilpailu,[68]
79,a,kirj,[86]
80,a,juhl,[16]
80,a,joulu,[20]
80,a,juoma,[21]
80,a,leivon,[34]
80,a,ruoka,"[36, 108]"
80,a,kilpailu,[76]
80,a,kirj,[94]
80,p,tee,[3]
81,a,juhl,[16]
81,a,joulu,[20]
81,a,juoma,[21]
81,a,leivon,[34]
81,a,ruoka,"[36, 55, 102]"
81,a,kilpailu,[70]
81,a,kirj,[88]
82,a,juhl,[16]
82,a,joulu,[20]
82,a,juoma,[21]
82,a,leivon,[34]
82,a,ruoka,"[36, 103]"
82,a,piirak,[48]
82,a,leivonnais,[50]
82,a,kilpailu,[71]
82,a,kirj,[89]
83,a,juhl,[16]
83,a,joulu,[20]
83,a,juoma,[21]
83,a,leivon,[34]
83,a,ruoka,"[36, 101]"
83,a,kilpailu,[69]
83,a,kirj,[87]
84,a,juhl,[16]
84,a,joulu,[20]
84,a,juoma,[21]
84,a,leivon,[34]
84,a,ruoka,"[36, 55, 101]"
84,a,kilpailu,[69]
84,a,kirj,[87]
84,p,pul,[8]
85,a,juhl,[16]
85,a,joulu,[20]
85,a,juoma,[21]
85,a,leivon,[34]
85,a,ruoka,"[36, 102]"
85,a,kilpailu,[70]
85,a,kirj,[88]
86,a,juhl,[16]
86,a,joulu,[20]
86,a,juoma,[21]
86,a,leivon,[34]
86,a,ruoka,"[36, 105]"
86,a,kilpailu,[73]
86,a,kirj,[91]
87,a,juhl,[16]
87,a,joulu,"[20, 53, 63]"
87,a,juoma,[21]
87,a,leivon,[34]
87,a,ruoka,"[36, 112]"
87,a,jouluruok,[65]
87,a,kilpailu,[80]
87,a,kirj,[98]
87,p,ruoka,"[58, 60]"
88,a,juhl,[16]
88,a,joulu,[20]
88,a,juoma,[21]
88,a,leivon,[34]
88,a,ruoka,"[36, 99]"
88,a,kilpailu,[67]
88,a,kirj,[85]
89,a,juhl,[16]
89,a,joulu,[20]
89,a,juoma,[21]
89,a,leivon,[34]
89,a,ruoka,"[36, 95]"
89,a,kilpailu,[63]
89,a,kirj,[81]
89,p,juhl,[4]
89,p,valkov,[72]
89,p,ruoka,[78]
90,a,juhl,[16]
90,a,joulu,[20]
90,a,juoma,[21]
90,a,leivon,[34]
90,a,ruoka,"[36, 113]"
90,a,jälkiruoa,"[59, 61]"
90,a,kilpailu,[81]
90,a,kirj,[99]
90,p,ruoka,"[63, 65]"
91,a,juhl,[16]
91,a,joulu,[20]
91,a,juoma,[21]
91,a,leivon,[34]
91,a,ruoka,"[36, 108]"
91,a,kilpailu,[76]
91,a,kirj,[94]
92,a,juhl,[16]
92,a,joulu,[20]
92,a,juoma,[21]
92,a,leivon,[34]
92,a,ruoka,"[36, 100]"
92,a,kilpailu,[68]
92,a,kirj,[86]
92,p,ruoka,[84]
93,a,juhl,[16]
93,a,joulu,[20]
93,a,juoma,[21]
93,a,leivon,[34]
93,a,ruoka,"[36, 101]"
93,a,piirak,"[46, 52, 59]"
93,a,leivonnais,"[48, 57]"
93,a,kilpailu,[69]
93,a,kirj,[87]
93,p,piirak,"[112, 115]"
94,a,juhl,[16]
94,a,joulu,[20]
94,a,juoma,[21]
94,a,leivon,[34]
94,a,ruoka,"[36, 97]"
94,a,kilpailu,[65]
94,a,kirj,[83]
95,a,juhl,[16]
95,a,joulu,[20]
95,a,juoma,[21]
95,a,leivon,[34]
95,a,ruoka,"[36, 105]"
95,a,kilpailu,[73]
95,a,kirj,[91]
96,a,juhl,[16]
96,a,joulu,[20]
96,a,juoma,[21]
96,a,leivon,[34]
96,a,ruoka,"[36, 49, 95]"
96,a,kilpailu,[63]
96,a,kirj,[81]
96,li,ruoka,[35]
97,a,juhl,[16]
97,a,joulu,[20]
97,a,juoma,[21]
97,a,leivon,[34]
97,a,ruoka,"[36, 105]"
97,a,kilpailu,[73]
97,a,kirj,[91]
97,p,ruoka,[72]
98,a,juhl,[16]
98,a,joulu,[20]
98,a,juoma,[21]
98,a,leivon,[34]
98,a,ruoka,"[36, 102]"
98,a,kilpailu,[70]
98,a,kirj,[88]
98,p,loma,[7]
98,p,ruoka,"[26, 28]"
99,a,juhl,[16]
99,a,joulu,[20]
99,a,juoma,[21]
99,a,leivon,[34]
99,a,ruoka,"[36, 99]"
99,a,kilpailu,[67]
99,a,kirj,[85]
